Rank,Fragment SMILES,Score
193,*c1cccc(C)c1F,0.5394367575645447
194,*c1ccccc1C(C)C,0.539375364780426
195,*c1cc(Cl)ccc1CN,0.5393435955047607
196,*CCc1c[nH]c2ccccc12,0.5393258333206177
197,*c1ccc2c(=N)[nH]ccc2c1,0.5393126606941223
198,*c1ccc2[nH]c(O)cc2c1,0.5389952063560486
199,*c1cc(C(=O)O)ccc1F,0.538960337638855
200,*CC1OB(O)c2ccccc21,0.5387431979179382
201,*c1cc2[nH]cnc2nc1C,0.5387043952941895
202,*c1cc(Cl)ccc1CO,0.5382040739059448
203,*c1cc(C(=O)O)ccc1O,0.5381659269332886
204,*c1ccc(C#N)c([N+](=O)[O-])c1,0.5379449725151062
205,*c1cc(C(=N)N)ccc1O,0.5378407835960388
206,*c1cc(=O)oc2ccccc12,0.5377230644226074
207,*C(C)c1ccc2nccn2c1,0.5376736521720886
208,*c1ccc2oc(=N)[nH]c2c1,0.5375801920890808
209,*c1ccc(C(=O)O)cc1,0.537552535533905
210,*c1c[nH]c2ncc(F)cc12,0.5368977785110474
211,*c1c[nH]c2c1N=CNC2N,0.5368280410766602
212,*c1nc(C)cc2ccccc12,0.5364870429039001
213,*c1ccc(C(=O)O)c(F)c1,0.5362992882728577
214,*c1cccc(C(=O)O)c1F,0.536177396774292
215,*c1cc(C)c(O)c(C)c1,0.5361656546592712
216,*c1ccc2c(cnn2C)c1,0.5361501574516296
217,*c1cc(F)ccc1C#N,0.5358344316482544
218,*c1ccc(F)c(C#N)c1,0.5358292460441589
219,*c1ccc(C(C)=O)cc1,0.5356738567352295
220,*N=c1c2c([nH]n1C)CCC2,0.5353894829750061
221,*c1nc(C)c2ccccc2n1,0.5353068113327026
222,*c1ccc(C(=O)O)c(O)c1,0.5352967977523804
223,*c1ccc(O)c(C(=O)O)c1,0.5349183082580566
224,*C(=O)c1[nH]nc2ccccc12,0.5348252654075623
225,*c1ccc(C=O)cc1O,0.5344123840332031
226,*c1nc(=O)c2ccncc2[nH]1,0.5343412756919861
227,*c1ccc(F)c(C(=O)O)c1,0.5342006683349609
228,*c1cc(C)nc2ncnn12,0.5341106653213501
229,*c1cccc(C(C)O)c1,0.5337988138198853
230,*c1ccc(OC)cc1,0.5337910652160645
231,*c1ccccc1Cl,0.5337083339691162
232,*c1cc(=O)c2ccccc2[nH]1,0.5334960222244263
233,*c1cc(C)c(F)c(C)c1,0.5331693887710571
234,*C(=O)c1ccn2cccc2c1,0.5328954458236694
235,*c1c(C)ccc(O)c1O,0.5328818559646606
236,*c1cccc(CNC)c1,0.5328483581542969
237,*c1ccc(CC=C)cc1,0.5327629446983337
238,*c1ccc(C#N)c(Cl)c1,0.5325130820274353
239,*c1ncnc2ccn(C)c12,0.5323442816734314
240,*C#Cc1cnc2cccnn12,0.5323406457901001
241,*c1cc(C)cc(O)c1O,0.5319617390632629
242,*c1cccc(OC)c1C,0.5319089293479919
243,*c1cccc(C(C)(C)C)c1,0.5315395593643188
244,*N(C)c1cccc2[nH]ncc12,0.5313868522644043
245,*c1ccc(C(N)=O)cc1C,0.5312401652336121
246,*c1ccc(C(=O)NCC)cc1,0.5312240719795227
247,*c1ccc(C(C)(C)N)cc1,0.531191885471344
248,*c1ccc(C#N)cc1F,0.5311726927757263
249,*c1cccc(C(N)=O)c1,0.530751645565033
250,*c1nc2c(OC)cccc2[nH]1,0.5306680202484131
251,*c1cccc(CCNC)c1,0.5306483507156372
252,*c1cc(CC=C)ccc1O,0.5306280255317688
253,*c1ccc(C(=N)N)cc1,0.5305262207984924
254,*Cc1nc2c(C)cccc2[nH]1,0.5303519368171692
255,*Cc1oc2ccccc2c1C,0.5302494168281555
256,*c1ccccc1F,0.5300790667533875
257,*n1cnc2cc(OC)ccc21,0.5299211740493774
258,*c1ccc2occ(C)c2c1,0.5298210978507996
259,*C(=O)c1ccc2[nH]ncc2c1,0.5297675132751465
